,feature,importance
139,proto_scps,0.0
52,proto_compaq-peer,0.0
141,proto_sdrp,0.0
142,proto_secure-vmtp,0.0
51,proto_chaos,0.0
144,proto_skip,0.0
146,proto_smp,0.0
172,proto_wsn,0.0
147,proto_snp,0.0
148,proto_sprite-rpc,0.0
149,proto_sps,0.0
150,proto_srp,0.0
151,proto_st2,0.0
152,proto_stp,0.0
153,proto_sun-nd,0.0
171,proto_wb-mon,0.0
176,proto_zero,0.0
173,proto_xnet,0.0
174,proto_xns-idp,0.0
196,state_URH,0.0
197,state_URHPRO,0.0
198,state_URN,0.0
199,state_URP,0.0
200,state_no,0.0
42,proto_argus,0.0
41,proto_any,0.0
40,proto_aes-sp3-d,0.0
206,service_ftp-data,0.0
39,proto_a/n,0.0
208,service_irc,0.0
210,service_radius,0.0
38,proto_3pc,0.0
212,service_snmp,0.0
26,is_sm_ips_ports,0.0
195,state_URFIL,0.0
194,state_URF,0.0
193,state_TXD,0.0
45,proto_ax.25,0.0
175,proto_xtp,0.0
136,proto_sat-expak,0.0
177,state_ACC,0.0
46,proto_bbn-rcc,0.0
180,state_ECO,0.0
181,state_ECR,0.0
44,proto_arp,0.0
192,state_TST,0.0
184,state_MAS,0.0
185,state_MHR,0.0
186,state_NNS,0.0
187,state_NRS,0.0
188,state_PAR,0.0
190,state_RSP,0.0
137,proto_sat-mon,0.0
135,proto_rvd,0.0
56,proto_crudp,0.0
85,proto_ipcomp,0.0
78,proto_idpr-cmtp,0.0
79,proto_idrp,0.0
80,proto_ifmp,0.0
81,proto_igmp,0.0
82,proto_igp,0.0
83,proto_il,0.0
84,proto_ip,0.0
86,proto_ipcv,0.0
76,proto_icmp,0.0
87,proto_ipip,0.0
88,proto_iplt,0.0
89,proto_ipnip,0.0
90,proto_ippc,0.0
91,proto_ipv6,0.0
92,proto_ipv6-frag,0.0
93,proto_ipv6-icmp,0.0
77,proto_idpr,0.0
75,proto_ib,0.0
134,proto_rtp,0.0
65,proto_esp,0.0
58,proto_ddp,0.0
59,proto_ddx,0.0
60,proto_dgp,0.0
61,proto_egp,0.0
62,proto_eigrp,0.0
63,proto_emcon,0.0
64,proto_encap,0.0
66,proto_etherip,0.0
74,proto_iatp,0.0
67,proto_fc,0.0
68,proto_fire,0.0
69,proto_ggp,0.0
70,proto_gmtp,0.0
54,proto_cpnx,0.0
72,proto_hmp,0.0
73,proto_i-nlsp,0.0
94,proto_ipv6-no,0.0
95,proto_ipv6-opts,0.0
96,proto_ipv6-route,0.0
125,proto_pri-enc,0.0
118,proto_nsfnet-igp,0.0
119,proto_nvp,0.0
120,proto_ospf,0.0
121,proto_pgm,0.0
122,proto_pim,0.0
123,proto_pipe,0.0
124,proto_pnni,0.0
126,proto_prm,0.0
97,proto_ipx-n-ip,0.0
127,proto_ptp,0.0
128,proto_pup,0.0
129,proto_pvp,0.0
130,proto_qnx,0.0
131,proto_rdp,0.0
132,proto_rsvp,0.0
133,proto_rtcp,0.0
117,proto_netblt,0.0
116,proto_narp,0.0
114,proto_mtp,0.0
113,proto_mobile,0.0
98,proto_irtp,0.0
99,proto_isis,0.0
100,proto_iso-ip,0.0
101,proto_iso-tp4,0.0
102,proto_kryptolan,0.0
103,proto_l2tp,0.0
104,proto_larp,0.0
105,proto_leaf-1,0.0
106,proto_leaf-2,0.0
53,proto_cphb,0.0
108,proto_lldp,0.0
109,proto_merit-inp,0.0
110,proto_mfe-nsp,0.0
111,proto_mhrp,0.0
112,proto_micp,0.0
107,proto_llc,0.0
